LAND SQUARE FEET,GROSS SQUARE FEET, SALE PRICE 
3200,1326,450000
3142,1344,450000
2600,1368,450000
2500,1376,450000
2242,1392,450000
4280,1429,450000
3100,1440,450000
1820,1462,450000
4400,1462,450000
3642,1473,450000
5400,1480,450000
3900,1488,450000
2500,1505,450000
3000,1530,450000
2415,1534,450000
2000,1556,450000
2300,1568,450000
2450,1574,450000
3200,1583,450000
2000,1600,450000
4000,1600,450000
2250,1692,450000
5547,1700,450000
1558,1710,450000
3242,1728,450000
2200,1746,450000
2025,1760,450000
4500,1876,450000
1710,1896,450000
3000,1908,450000
3000,1980,450000
1921,2000,450000
2100,2100,450000
2500,2138,450000
2800,2158,450000
4000,2181,450000
3192,2192,450000
2800,2208,450000
4000,2230,450000
1480,2400,450000
3780,2688,450000
4038,2800,450000
2289,3150,450000
2300,1088,450751
2400,1264,450751
1422,1170,450800
1930,912,451000
3436,1780,451000
4000,1240,451230
2500,1517,451230
2520,1372,451507
3500,2150,451830
4200,1092,452000
2500,1328,452000
4000,1493,452000
2000,1920,452000
5000,969,452500
3800,1786,453000
4375,2603,453000
8170,5240,453326
3500,925,453500
1800,1224,453500
1681,828,454000
2400,670,455000
2100,840,455000
1400,960,455000
2132,1001,455000
3100,1040,455000
1973,1140,455000
3300,1152,455000
2000,1200,455000
2300,1216,455000
2420,1248,455000
2500,1296,455000
2500,1344,455000
3000,1533,455000
4000,1536,455000
1887,1540,455000
2442,1568,455000
4000,1644,455000
2158,1688,455000
5000,2222,455000
4800,2336,455000
2802,1280,455751
2232,1568,455751
1600,1064,456300
3000,1416,456300
3500,2066,456300
3996,1376,457000
10380,2320,458000
1800,2800,458000
2000,1200,459000
2000,1268,459000
4170,930,459043
4000,1652,459375
2000,832,460000
3840,837,460000
1900,882,460000
2000,924,460000
1800,936,460000
4900,1062,460000
3600,1080,460000
2923,1100,460000
1333,1152,460000
2000,1200,460000
1800,1224,460000
1800,1224,460000
2000,1232,460000
2328,1288,460000
4000,1344,460000
2375,1474,460000
2600,1488,460000
3000,1516,460000
1024,1528,460000
3300,1552,460000
4500,1554,460000
4000,1760,460000
3000,1816,460000
2500,1828,460000
4000,1919,460000
3000,2160,460000
4000,2594,460000
1908,1848,460040
3500,1516,460500
4000,1152,460775
1900,1280,461370
2000,820,462000
1800,1080,462000
2000,1200,462000
3640,1544,462133
2000,896,463000
3421,1196,463027
2500,1696,463049
2800,1528,464000
2300,1312,464356
2000,756,465000
4251,837,465000
2000,896,465000
4750,900,465000
2000,938,465000
2000,952,465000
4400,1063,465000
2000,1120,465000
2400,1152,465000
2002,1156,465000
2000,1170,465000
2000,1216,465000
3056,1386,465000
2000,1460,465000
2000,1480,465000
2760,1554,465000
4000,1888,465000
2000,1924,465000
19260,4134,465237
2450,1034,465360
2000,1264,465500
3842,1054,465751
2673,1592,466440
3333,1932,466440
4000,1984,466440
3000,1854,466500
2470,4500,466667
2500,1568,466695
2500,1568,467066
2500,648,467500
4000,1181,467500
2000,896,468000
3800,1031,468000
3421,1196,468000
2000,1683,468000
4100,3190,468564
4100,3190,468564
1482,1160,468650
5106,999,469000
2138,1440,469000
2185,1728,469000
2944,1689,469098
2000,1296,469810
1655,600,470000
1280,770,470000
2500,888,470000
1344,896,470000
2000,952,470000
4000,1025,470000
3475,1056,470000
4000,1070,470000
2521,1168,470000
