BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6363,26,,A2,292 SHIRLEY AVENUE,,10312,1,0,1,"4,000","1,232",1975,1,A2,"435,475",2019/8/12
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6364,5,,A1,565 BARCLAY AVENUE,,10312,1,0,1,"7,000","3,774",1975,1,A1,0,2019/12/12
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6364,5,,A1,565 BARCLAY AVENUE,,10312,1,0,1,"7,000","3,774",1975,1,A1,0,2019/8/26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6364,145,,A1,315 KINGHORN STREET,,10312,1,0,1,"10,700","4,080",1985,1,A1,"1,375,000",2020/3/3
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6368,5,,A1,251 HOLDRIDGE AVENUE,,10312,1,0,1,"6,000","2,240",1975,1,A1,10,2019/10/17
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6368,24,,A2,58 JANSEN STREET,,10312,1,0,1,"6,000","1,820",1975,1,A2,"700,000",2019/8/15
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6368,42,,A1,65 WEAVER STREET,,10312,1,0,1,"8,000","2,467",1975,1,A1,"745,000",2019/9/23
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6370,64,,A2,379 SHIRLEY AVENUE,,10312,1,0,1,"3,000",975,1910,1,A2,"480,000",2019/10/29
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6371,5,,A1,463 BARCLAY AVENUE,,10312,1,0,1,"6,000","2,500",1970,1,A1,"750,000",2020/1/6
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6372,44,,A1,105 JANSEN STREET,,10312,1,0,1,"9,776","2,458",1970,1,A1,"638,000",2020/4/6
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6378,6,,A1,158 TALLMAN STREET,,10312,1,0,1,"6,600","1,924",1975,1,A1,"490,000",2020/5/15
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6378,35,,A1,102 TALLMAN STREET,,10312,1,0,1,"4,000","3,789",1989,1,A9,"835,000",2019/6/18
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6378,55,,A1,117 EYLANDT STREET,,10312,1,0,1,"4,000","2,400",1987,1,A1,"842,000",2019/10/3
